Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
27	22:51:10	22:51:10	22:51:10	22:51:10	22:51:10	22:51:10			22:51:11	22:51:11	22:51:11	22:51:11	22:51:21	22:51:21	22:51:21	22:51:21	22:51:21	22:51:21			22:51:21	22:51:21		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
28	22:51:21	22:51:21	22:51:21	22:51:21	22:51:22	22:51:22			22:51:22	22:51:22	22:51:22	22:51:22	22:51:32	22:51:32	22:51:32	22:51:32	22:51:33	22:51:33			22:51:33	22:51:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
29	22:51:33	22:51:33	22:51:33	22:51:33	22:51:33	22:51:33			22:51:33	22:51:33	22:51:34	22:51:34	22:51:45	22:51:45	22:51:45	22:51:45	22:51:45	22:51:45			22:51:46	22:51:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
30	22:51:46	22:51:46	22:51:46	22:51:46	22:51:46	22:51:46			22:51:46	22:51:46	22:51:46	22:51:46	22:51:56	22:51:56	22:51:56	22:51:56	22:51:56	22:51:56	22:51:56	22:51:56	22:51:56	22:51:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10
31	22:51:57	22:51:57	22:51:57	22:51:57	22:51:57	22:51:57			22:51:57	22:51:57	22:51:57	22:51:57	22:52:08	22:52:08	22:52:08	22:52:08	22:52:08	22:52:08			22:52:09	22:52:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:12
32	22:52:09	22:52:09	22:52:09	22:52:09	22:52:09	22:52:09			22:52:09	22:52:09	22:52:09	22:52:09	22:52:19	22:52:19	22:52:19	22:52:19	22:52:19	22:52:19			22:52:20	22:52:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
33	22:52:20	22:52:20	22:52:20	22:52:20	22:52:20	22:52:20			22:52:20	22:52:20	22:52:21	22:52:21	22:52:31	22:52:31	22:52:31	22:52:31	22:52:31	22:52:31			22:52:32	22:52:32		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
34	22:52:32	22:52:32	22:52:32	22:52:32	22:52:32	22:52:32			22:52:32	22:52:32	22:52:32	22:52:32	22:52:44	22:52:44	22:52:44	22:52:44	22:52:44	22:52:44			22:52:44	22:52:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
35	22:52:44	22:52:44	22:52:45	22:52:45	22:52:45	22:52:45			22:52:45	22:52:45	22:52:45	22:52:45	22:52:55	22:52:55	22:52:55	22:52:55	22:52:55	22:52:55			22:52:56	22:52:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
36	22:52:56	22:52:56	22:52:56	22:52:56	22:52:56	22:52:56			22:52:56	22:52:56	22:52:57	22:52:57	22:53:07	22:53:07	22:53:07	22:53:07	22:53:07	22:53:07			22:53:08	22:53:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
