ITERATION	avg. Average Leg distance	avg. Average Trip distance
70	2573.0135926955377	4445.636532834275	
71	2570.2725903793835	4450.229429758051	
72	2576.5602400647404	4455.234433415001	
73	2579.708279358013	4458.408207354633	
74	2576.4001865154005	4462.891189807803	
75	2581.323051236794	4459.3882530015735	
76	2584.168399019619	4464.150141214488	
77	2586.1234941046764	4467.328256135646	
78	2589.8776312529767	4471.303181423223	
79	2603.27683498413	4471.439793999789	
80	2600.591842705864	4475.423462800448	
81	2609.047891613528	4482.6550929135965	
82	2618.254787622558	4483.002555994234	
83	2617.689920419244	4482.097629046461	
84	2622.2498404299918	4488.3776337793915	
85	2617.0480614288645	4485.074627402051	
86	2621.3776217324703	4484.2667500622165	
87	2619.4724649830628	4490.412999210354	
88	2626.5008552121717	4487.371019729207	
89	2631.287422005085	4495.7755811310035	
90	2624.8025550501884	4494.30733052744	
91	2632.3476229001812	4491.748032307862	
92	2631.1532924979924	4490.979195468902	
93	2631.1423679728955	4493.61953245239	
94	2638.005496382307	4494.9593832484015	
95	2641.7371632210215	4503.202345156823	
96	2644.7400324003384	4505.994303448647	
97	2648.627284532821	4501.58669582002	
98	2649.3218250217965	4504.445570194591	
99	2646.6820899298905	4501.492078957244	
100	2647.782550540172	4506.196313182123	
101	2656.406497195363	4509.542956943729	
102	2657.3590465050706	4508.632506129505	
103	2650.3571896281064	4506.489519375385	
104	2655.124821098984	4503.863201168678	
105	2656.214297607508	4505.295315751022	
106	2663.419172403046	4508.464725835883	
107	2661.6161262963165	4509.621359438375	
108	2658.553961450795	4511.2604226377925	
109	2662.0896781475685	4510.423706374175	
110	2663.9175448541446	4510.9869456192	
111	2655.905282678027	4509.481504274542	
112	2659.735295544302	4511.340499352099	
113	2663.652117306843	4504.552100412857	
114	2663.8975995838105	4509.717978893577	
115	2664.621795107055	4508.504595494832	
116	2667.178331207372	4512.544825159123	
117	2668.245306714165	4512.541792226487	
118	2667.961746100245	4510.698277760543	
119	2660.4057519729713	4506.705166959759	
120	2665.170145040454	4512.442634822506	
121	2662.8199118879106	4505.23422162788	
122	2665.7884235433908	4510.129880478797	
123	2671.320963093515	4513.328729322236	
124	2665.1606483063056	4509.2895814983	
125	2663.725328558603	4507.08279466349	
126	2672.7548817708566	4512.859708054355	
127	2666.717559986861	4509.500556525714	
128	2671.840538502136	4518.622055407363	
129	2665.4207316677566	4511.979595468496	
130	2664.473157877274	4510.7240212020315	
131	2671.9045197100145	4511.169765063601	
132	2673.1517138621416	4513.021240282225	
133	2674.5115894304677	4513.504613602643	
134	2669.5134416050787	4513.449563966006	
135	2675.6922495121576	4513.174832131011	
136	2671.254368195918	4512.035579081672	
137	2668.7234126308135	4507.822200114582	
138	2671.6524496583743	4511.665326888316	
139	2675.353692038726	4512.03123619985	
140	2671.1884963932225	4508.429558447341	
141	2671.269197183214	4513.749416008407	
142	2672.5997623782296	4514.897313767342	
143	2672.3034205951667	4514.703827122692	
144	2668.431026074898	4511.079253698916	
145	2677.2199628958347	4511.321530170954	
146	2667.9395596332365	4510.724206600928	
147	2675.4681896553466	4515.495088239826	
148	2675.997920353852	4509.191452123887	
149	2672.50680668932	4512.022215320259	
150	2675.4679368716493	4510.8243093547935	
