Iteration	car_travel	car_wait	pt_travel	pt_wait	stageActivity_travel	stageActivity_wait	walk_travel	walk_wait
75	733	0	2832	2095	0	0	130464	0
76	720	0	2765	2064	0	0	130778	0
77	709	0	2726	2018	0	0	131163	0
78	696	0	2680	1978	0	0	131463	0
79	674	0	2653	1942	0	0	132044	0
80	669	0	2589	1905	0	0	132403	0
81	638	0	2553	1857	0	0	132825	0
82	633	0	2494	1813	0	0	133278	0
83	626	0	2474	1787	0	0	133471	0
84	595	0	2431	1762	0	0	134068	0
85	592	0	2384	1713	0	0	134295	0
86	573	0	2336	1699	0	0	134826	0
87	569	0	2295	1656	0	0	134993	0
88	565	0	2281	1644	0	0	135120	0
89	555	0	2230	1607	0	0	135587	0
90	552	0	2197	1592	0	0	135835	0
91	538	0	2159	1564	0	0	136150	0
92	541	0	2108	1535	0	0	136473	0
93	513	0	2100	1531	0	0	136844	0
94	507	0	2063	1490	0	0	137104	0
95	496	0	2010	1456	0	0	137354	0
96	493	0	1963	1422	0	0	137735	0
97	504	0	1941	1399	0	0	137854	0
98	485	0	1923	1390	0	0	138066	0
99	469	0	1886	1371	0	0	138402	0
100	479	0	1874	1361	0	0	138508	0
101	473	0	1829	1330	0	0	138790	0
102	447	0	1808	1316	0	0	139141	0
103	436	0	1775	1296	0	0	139530	0
104	452	0	1747	1280	0	0	139638	0
105	449	0	1716	1248	0	0	139798	0
106	440	0	1699	1242	0	0	139985	0
107	449	0	1674	1223	0	0	140096	0
108	430	0	1642	1203	0	0	140387	0
109	435	0	1623	1193	0	0	140497	0
110	422	0	1600	1175	0	0	140779	0
111	428	0	1584	1160	0	0	140888	0
112	427	0	1556	1141	0	0	141035	0
113	439	0	1526	1127	0	0	141087	0
114	399	0	1489	1108	0	0	141733	0
115	428	0	1476	1087	0	0	141459	0
116	400	0	1456	1072	0	0	142014	0
117	412	0	1424	1050	0	0	141956	0
118	401	0	1409	1034	0	0	142238	0
119	429	0	1399	1033	0	0	141948	0
120	414	0	1359	996	0	0	142396	0
121	401	0	1347	985	0	0	142619	0
122	395	0	1319	972	0	0	142798	0
123	394	0	1316	970	0	0	142817	0
124	392	0	1304	952	0	0	142909	0
125	386	0	1263	933	0	0	143194	0
126	395	0	1265	928	0	0	143155	0
127	397	0	1265	928	0	0	143109	0
128	386	0	1237	913	0	0	143434	0
129	393	0	1196	878	0	0	143602	0
130	407	0	1167	864	0	0	143702	0
131	393	0	1160	859	0	0	143912	0
132	396	0	1154	852	0	0	143790	0
133	388	0	1170	851	0	0	143853	0
134	386	0	1164	842	0	0	143845	0
135	381	0	1133	823	0	0	144225	0
136	395	0	1113	806	0	0	144147	0
137	390	0	1129	816	0	0	144173	0
138	399	0	1095	791	0	0	144304	0
139	362	0	1075	785	0	0	144723	0
140	384	0	1063	777	0	0	144631	0
141	384	0	1055	774	0	0	144713	0
142	383	0	1030	749	0	0	144755	0
143	389	0	1031	746	0	0	144745	0
144	389	0	1034	752	0	0	144698	0
145	390	0	1027	740	0	0	144850	0
146	387	0	1014	745	0	0	144930	0
147	375	0	982	712	0	0	145201	0
148	375	0	998	722	0	0	145087	0
149	381	0	993	717	0	0	145163	0
150	375	0	962	704	0	0	145326	0
