Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
27	23:36:36	23:36:36	23:36:36	23:36:36	23:36:36	23:36:36			23:36:36	23:36:36	23:36:36	23:36:36	23:36:45	23:36:45	23:36:45	23:36:45	23:36:45	23:36:45			23:36:46	23:36:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
28	23:36:46	23:36:46	23:36:46	23:36:46	23:36:46	23:36:46			23:36:46	23:36:46	23:36:46	23:36:46	23:36:56	23:36:56	23:36:56	23:36:56	23:36:56	23:36:56			23:36:56	23:36:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
29	23:36:56	23:36:56	23:36:57	23:36:57	23:36:57	23:36:57			23:36:57	23:36:57	23:36:57	23:36:57	23:37:09	23:37:09	23:37:09	23:37:09	23:37:09	23:37:09			23:37:09	23:37:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:13
30	23:37:10	23:37:10	23:37:10	23:37:10	23:37:10	23:37:10			23:37:10	23:37:10	23:37:10	23:37:10	23:37:19	23:37:19	23:37:19	23:37:19	23:37:19	23:37:19	23:37:19	23:37:19	23:37:20	23:37:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10
31	23:37:20	23:37:20	23:37:20	23:37:20	23:37:20	23:37:20			23:37:20	23:37:20	23:37:21	23:37:21	23:37:29	23:37:29	23:37:29	23:37:29	23:37:29	23:37:29			23:37:30	23:37:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
32	23:37:30	23:37:30	23:37:30	23:37:30	23:37:30	23:37:30			23:37:30	23:37:30	23:37:31	23:37:31	23:37:40	23:37:40	23:37:40	23:37:40	23:37:40	23:37:40			23:37:40	23:37:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:10
33	23:37:40	23:37:40	23:37:40	23:37:40	23:37:41	23:37:41			23:37:41	23:37:41	23:37:41	23:37:41	23:37:51	23:37:51	23:37:51	23:37:51	23:37:51	23:37:51			23:37:52	23:37:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
34	23:37:52	23:37:52	23:37:52	23:37:52	23:37:52	23:37:52			23:37:52	23:37:52	23:37:52	23:37:52	23:38:00	23:38:00	23:38:00	23:38:00	23:38:00	23:38:00			23:38:01	23:38:01		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
35	23:38:01	23:38:01	23:38:01	23:38:01	23:38:01	23:38:01			23:38:01	23:38:01	23:38:02	23:38:02	23:38:10	23:38:10	23:38:10	23:38:10	23:38:10	23:38:10			23:38:10	23:38:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
36	23:38:10	23:38:10	23:38:10	23:38:10	23:38:11	23:38:11			23:38:11	23:38:11	23:38:11	23:38:11	23:38:20	23:38:20	23:38:20	23:38:20	23:38:20	23:38:20			23:38:20	23:38:20		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
